Country, Region, Currencies
Afghanistan, APJ, AFN
Aland Islands, EMEA, EUR
Albania, EMEA, ALL
Algeria, EMEA, DZD
American Samoa, APJ, USD
Andorra, EMEA, EUR
Angola, EMEA, AOA
Anguilla, LATAM, XCD
Antigua and Barbuda, LATAM, XCD
Argentina, LATAM, ARS
Armenia, EMEA, AMD
Aruba, LATAM, AWG
Australia, APJ, AUD
Austria, EMEA, EUR
Azerbaijan, EMEA, AZN
The Bahamas, LATAM, BSD
Bahrain, EMEA, BHD
Bangladesh, APJ, BDT
Barbados, LATAM, BBD
Belarus, EMEA, BYR
Belgium, EMEA, EUR
Belize, LATAM, BZD
Benin, EMEA, XOF
Bermuda, AMS, BMD
Bhutan, APJ, BTN_INR
Bolivia, LATAM, BOB_BOV
Bonaire, LATAM, USD
Bosnia and Herzegovina, EMEA, BAM
Botswana, EMEA, BWP
Brazil, LATAM, BRL
British Indian Ocean Territory, EMEA, USD
United States Minor Outlying Islands, AMS, USD
Virgin Islands (British), LATAM, USD
Virgin Islands (U.S.), LATAM, USD
Brunei, APJ, BND
Bulgaria, EMEA, BGN
Burkina Faso, EMEA, XOF
Burundi, EMEA, BIF
Cambodia, APJ, KHR
Cameroon, EMEA, XAF
Canada, AMS, CAD
Cape Verde, EMEA, CVE
Cayman Islands, LATAM, KYD
Central African Republic, EMEA, XAF
Chad, EMEA, XAF
Chile, LATAM, CLF_CLP
China, APJ, CNY
Christmas Island, APJ, AUD
Cocos (Keeling) Islands, APJ, AUD
Colombia, LATAM, COP
Comoros, EMEA, KMF
Republic of the Congo, EMEA, XAF
Democratic Republic of the Congo, EMEA, CDF
Cook Islands, APJ, NZD
Costa Rica, LATAM, CRC
Croatia, EMEA, HRK
Cuba, LATAM, CUC_CUP
Curacao, LATAM, ANG
Cyprus, EMEA, EUR
Czech Republic, EMEA, CZK
Denmark, EMEA, DKK
Djibouti, EMEA, DJF
Dominica, LATAM, XCD
Dominican Republic, LATAM, DOP
Ecuador, LATAM, USD
Egypt, EMEA, EGP
El Salvador, LATAM, SVC_USD
Equatorial Guinea, EMEA, XAF
Eritrea, EMEA, ERN
Estonia, EMEA, EUR
Ethiopia, EMEA, ETB
Falkland Islands, LATAM, FKP
Faroe Islands, EMEA, DKK
Fiji, APJ, FJD
Finland, EMEA, EUR
France, EMEA, EUR
French Guiana, LATAM, EUR
French Polynesia, APJ, XPF
French Southern and Antarctic Lands, EMEA, EUR
Gabon, EMEA, XAF
The Gambia, EMEA, GMD
Georgia, EMEA, GEL
Germany, EMEA, EUR
Ghana, EMEA, GHS
Gibraltar, EMEA, GIP
Greece, EMEA, EUR
Greenland, AMS, DKK
Grenada, LATAM, XCD
Guadeloupe, LATAM, EUR
Guam, APJ, USD
Guatemala, LATAM, GTQ
Guernsey, EMEA, GBP
Guinea, EMEA, GNF
Guinea-Bissau, EMEA, XOF
Guyana, LATAM, GYD
Haiti, LATAM, HTG_USD
Holy See, EMEA, EUR
Honduras, LATAM, HNL
Hong Kong, APJ, HKD
Hungary, EMEA, HUF
Iceland, EMEA, ISK
India, APJ, INR
Indonesia, APJ, IDR
Ivory Coast, EMEA, XOF
Iran, APJ, IRR
Iraq, EMEA, IQD
Republic of Ireland, EMEA, EUR
Isle of Man, EMEA, GBP
Israel, EMEA, ILS
Italy, EMEA, EUR
Jamaica, LATAM, JMD
Japan, APJ, JPY
Jersey, EMEA, GBP
Jordan, EMEA, JOD
Kazakhstan, APJ, KZT
Kenya, EMEA, KES
Kiribati, APJ, AUD
Kuwait, EMEA, KWD
Kyrgyzstan, APJ, KGS
Laos, APJ, LAK
Latvia, EMEA, EUR
Lebanon, EMEA, LBP
Lesotho, EMEA, LSL_ZAR
Liberia, EMEA, LRD
Libya, EMEA, LYD
Liechtenstein, EMEA, CHF
Lithuania, EMEA, EUR
Luxembourg, EMEA, EUR
Macau, APJ, MOP
Republic of Macedonia, EMEA, MKD
Madagascar, EMEA, MGA
Malawi, EMEA, MWK
Malaysia, APJ, MYR
Maldives, APJ, MVR
Mali, EMEA, XOF
Malta, EMEA, EUR
Marshall Islands, APJ, USD
Martinique, LATAM, EUR
Mauritania, EMEA, MRO
Mauritius, EMEA, MUR
Mayotte, EMEA, EUR
Mexico, LATAM, MXN
Federated States of Micronesia, APJ, USD
Moldova, EMEA, MDL
Monaco, EMEA, EUR
Mongolia, APJ, MNT
Montenegro, EMEA, EUR
Montserrat, LATAM, XCD
Morocco, EMEA, MAD
Mozambique, EMEA, MZN
Myanmar, APJ, MMK
Namibia, EMEA, NAD_ZAR
Nauru, APJ, AUD
Nepal, APJ, NPR
Netherlands, EMEA, EUR
New Caledonia, APJ, XPF
New Zealand, APJ, NZD
Nicaragua, LATAM, NIO
Niger, EMEA, XOF
Nigeria, EMEA, NGN
Niue, APJ, NZD
Norfolk Island, APJ, AUD
North Korea, APJ, KPW
Northern Mariana Islands, APJ, USD
Norway, EMEA, NOK
Oman, EMEA, OMR
Pakistan, APJ, PKR
Palau, APJ, USD
Palestine, EMEA, ILS
Panama, LATAM, PAB_USD
Papua New Guinea, APJ, PGK
Paraguay, LATAM, PYG
Peru, LATAM, PEN
Philippines, APJ, PHP
Pitcairn Islands, APJ, NZD
Poland, EMEA, PLN
Portugal, EMEA, EUR
Puerto Rico, LATAM, USD
Qatar, EMEA, QAR
Republic of Kosovo, EMEA, EUR
Reunion, EMEA, EUR
Romania, EMEA, RON
Russia, EMEA, RUB
Rwanda, EMEA, RWF
Saint Barthelemy, LATAM, EUR
Saint Helena, EMEA, SHP
Saint Kitts and Nevis, LATAM, XCD
Saint Lucia, LATAM, XCD
Saint Martin, LATAM, EUR
Saint Pierre and Miquelon, AMS, EUR
Saint Vincent and the Grenadines, LATAM, XCD
Samoa, APJ, WST
San Marino, EMEA, EUR
Sao Tome and Principe, EMEA, STD
Saudi Arabia, EMEA, SAR
Senegal, EMEA, XOF
Serbia, EMEA, RSD
Seychelles, EMEA, SCR
Sierra Leone, EMEA, SLL
Singapore, APJ, SGD
Sint Maarten, LATAM, ANG
Slovakia, EMEA, EUR
Slovenia, EMEA, EUR
Solomon Islands, APJ, SBD
Somalia, EMEA, SOS
South Africa, EMEA, ZAR
South Georgia, LATAM, GBP
South Korea, APJ, KRW
South Sudan, EMEA, SSP
Spain, EMEA, EUR
Sri Lanka, APJ, LKR
Sudan, EMEA, SDG
Suriname, LATAM, SRD
Svalbard and Jan Mayen, EMEA, NOK
Swaziland, EMEA, SZL
Sweden, EMEA, SEK
Switzerland, EMEA, CHE_CHF_CHW
Syria, EMEA, SYP
Taiwan, APJ, TWD
Tajikistan, APJ, TJS
Tanzania, EMEA, TZS
Thailand, APJ, THB
East Timor, APJ, USD
Togo, EMEA, XOF
Tokelau, APJ, NZD
Tonga, APJ, TOP
Trinidad and Tobago, LATAM, TTD
Tunisia, EMEA, TND
Turkey, EMEA, TRY
Turkmenistan, APJ, TMT
Turks and Caicos Islands, LATAM, USD
Tuvalu, APJ, AUD
Uganda, EMEA, UGX
Ukraine, EMEA, UAH
United Arab Emirates, EMEA, AED
United Kingdom, EMEA, GBP
United States, AMS, USD_USN_USS
Uruguay, LATAM, UYI_UYU
Uzbekistan, APJ, UZS
Vanuatu, APJ, VUV
Venezuela, LATAM, VEF
Vietnam, APJ, VND
Wallis and Futuna, APJ, XPF
Western Sahara, EMEA, MAD_DZD_MRO
Yemen, EMEA, YER
Zambia, EMEA, ZMK
Zimbabwe, EMEA, USD
